Country Code,year,edu_spend_by_gdp
ABW,1960,
AFE,1960,
AFG,1960,
AFW,1960,
AGO,1960,
ALB,1960,
AND,1960,
ARB,1960,
ARE,1960,
ARG,1960,
ARM,1960,
ASM,1960,
ATG,1960,
AUS,1960,
AUT,1960,
AZE,1960,
BDI,1960,
BEL,1960,
BEN,1960,
BFA,1960,
BGD,1960,
BGR,1960,
BHR,1960,
BHS,1960,
BIH,1960,
BLR,1960,
BLZ,1960,
BMU,1960,
BOL,1960,
BRA,1960,
BRB,1960,
BRN,1960,
BTN,1960,
BWA,1960,
CAF,1960,
CAN,1960,
CEB,1960,
CHE,1960,
CHI,1960,
CHL,1960,
CHN,1960,
CIV,1960,
CMR,1960,
COD,1960,
COG,1960,
COL,1960,
COM,1960,
CPV,1960,
CRI,1960,
CSS,1960,
CUB,1960,
CUW,1960,
CYM,1960,
CYP,1960,
CZE,1960,
DEU,1960,
DJI,1960,
DMA,1960,
DNK,1960,
DOM,1960,
DZA,1960,
EAP,1960,
EAR,1960,
EAS,1960,
ECA,1960,
ECS,1960,
ECU,1960,
EGY,1960,
EMU,1960,
ERI,1960,
ESP,1960,
EST,1960,
ETH,1960,
EUU,1960,
FCS,1960,
FIN,1960,
FJI,1960,
FRA,1960,
FRO,1960,
FSM,1960,
GAB,1960,
GBR,1960,
GEO,1960,
GHA,1960,
GIB,1960,
GIN,1960,
GMB,1960,
GNB,1960,
GNQ,1960,
GRC,1960,
GRD,1960,
GRL,1960,
GTM,1960,
GUM,1960,
GUY,1960,
HIC,1960,
HKG,1960,
HND,1960,
HPC,1960,
HRV,1960,
HTI,1960,
HUN,1960,
IBD,1960,
IBT,1960,
IDA,1960,
IDB,1960,
IDN,1960,
IDX,1960,
IMN,1960,
IND,1960,
INX,1960,
IRL,1960,
IRN,1960,
IRQ,1960,
ISL,1960,
ISR,1960,
ITA,1960,
JAM,1960,
JOR,1960,
JPN,1960,
KAZ,1960,
KEN,1960,
KGZ,1960,
KHM,1960,
KIR,1960,
KNA,1960,
KOR,1960,
KWT,1960,
LAC,1960,
LAO,1960,
LBN,1960,
LBR,1960,
LBY,1960,
LCA,1960,
LCN,1960,
LDC,1960,
LIC,1960,
LIE,1960,
LKA,1960,
LMC,1960,
LMY,1960,
LSO,1960,
LTE,1960,
LTU,1960,
LUX,1960,
LVA,1960,
MAC,1960,
MAF,1960,
MAR,1960,
MCO,1960,
MDA,1960,
MDG,1960,
MDV,1960,
MEA,1960,
MEX,1960,
MHL,1960,
MIC,1960,
MKD,1960,
MLI,1960,
MLT,1960,
MMR,1960,
MNA,1960,
MNE,1960,
MNG,1960,
MNP,1960,
MOZ,1960,
MRT,1960,
MUS,1960,
MWI,1960,
MYS,1960,
NAC,1960,
NAM,1960,
NCL,1960,
NER,1960,
NGA,1960,
NIC,1960,
NLD,1960,
NOR,1960,
NPL,1960,
NRU,1960,
NZL,1960,
OED,1960,
OMN,1960,
OSS,1960,
PAK,1960,
PAN,1960,
PER,1960,
PHL,1960,
PLW,1960,
PNG,1960,
POL,1960,
PRE,1960,
PRI,1960,
PRK,1960,
PRT,1960,
PRY,1960,
PSE,1960,
PSS,1960,
PST,1960,
PYF,1960,
QAT,1960,
ROU,1960,
RUS,1960,
RWA,1960,
SAS,1960,
SAU,1960,
SDN,1960,
SEN,1960,
SGP,1960,
SLB,1960,
SLE,1960,
SLV,1960,
SMR,1960,
SOM,1960,
SRB,1960,
SSA,1960,
SSD,1960,
SSF,1960,
SST,1960,
STP,1960,
SUR,1960,
SVK,1960,
SVN,1960,
SWE,1960,
SWZ,1960,
SXM,1960,
SYC,1960,
SYR,1960,
TCA,1960,
TCD,1960,
TEA,1960,
TEC,1960,
TGO,1960,
THA,1960,
TJK,1960,
TKM,1960,
TLA,1960,
TLS,1960,
TMN,1960,
TON,1960,
TSA,1960,
TSS,1960,
TTO,1960,
TUN,1960,
TUR,1960,
TUV,1960,
TZA,1960,
UGA,1960,
UKR,1960,
UMC,1960,
URY,1960,
USA,1960,
